Periode;Agence;type contrat;nb;mt
201601;AGCE007;Flottes;0;0
201601;AGCE007;Collectives;0;0
201601;AGCE007;DB ent.;1;400
201601;AGCE007;Garagistes;5;3400
201601;AGCE007;AUTO;25;6000
201601;AGCE007;Habitation;0;0
201601;AGCE007;sante;0;0
201601;AGCE007;Gav;0;0
201602;AGCE007;Flottes;0;0
201602;AGCE007;Collectives;1;250
201602;AGCE007;DB ent.;0;0
201602;AGCE007;Garagistes;1;1000
201602;AGCE007;AUTO;10;2000
201602;AGCE007;Habitation;2;300
201602;AGCE007;sante;0;0
201602;AGCE007;Gav;0;0
201603;AGCE007;Flottes;0;0
201603;AGCE007;Collectives;1;250
201603;AGCE007;DB ent.;0;0
201603;AGCE007;Garagistes;1;1000
201603;AGCE007;AUTO;10;2000
201603;AGCE007;Habitation;2;300
201603;AGCE007;sante;0;0
201603;AGCE007;Gav;0;0
201501;AGCE007;Flottes;0;0
201501;AGCE007;Collectives;0;0
201501;AGCE007;DB ent.;1;400
201501;AGCE007;Garagistes;5;3400
201501;AGCE007;AUTO;25;6000
201501;AGCE007;Habitation;0;0
201501;AGCE007;sante;0;0
201501;AGCE007;Gav;0;0
201502;AGCE007;Flottes;0;0
201502;AGCE007;Collectives;1;250
201502;AGCE007;DB ent.;0;0
201502;AGCE007;Garagistes;1;1000
201502;AGCE007;AUTO;10;2000
201502;AGCE007;Habitation;2;300
201502;AGCE007;sante;0;0
201502;AGCE007;Gav;0;0
201503;AGCE007;Flottes;0;0
201503;AGCE007;Collectives;1;250
201503;AGCE007;DB ent.;0;0
201503;AGCE007;Garagistes;1;1000
201503;AGCE007;AUTO;10;2000
201503;AGCE007;Habitation;2;300
201503;AGCE007;sante;0;0
201503;AGCE007;Gav;0;0
