Periode;Agence;type contrat;nb;mt
201601;AGCE008;Flottes;2;1200
201601;AGCE008;Collectives;0;0
201601;AGCE008;DB ent.;0;0
201601;AGCE008;Garagistes;2;1200
201601;AGCE008;AUTO;30;7000
201601;AGCE008;Habitation;5;2000
201601;AGCE008;sante;2;400
201601;AGCE008;Gav;1;200
201602;AGCE008;Flottes;0;0
201602;AGCE008;Collectives;1;500
201602;AGCE008;DB ent.;0;0
201602;AGCE008;Garagistes;1;800
201602;AGCE008;AUTO;12;2000
201602;AGCE008;Habitation;0;0
201602;AGCE008;sante;2;400
201602;AGCE008;Gav;1;200
201603;AGCE008;Flottes;0;0
201603;AGCE008;Collectives;1;500
201603;AGCE008;DB ent.;0;0
201603;AGCE008;Garagistes;1;800
201603;AGCE008;AUTO;12;2000
201603;AGCE008;Habitation;0;0
201603;AGCE008;sante;2;400
201603;AGCE008;Gav;1;200
201501;AGCE008;Flottes;2;1200
201501;AGCE008;Collectives;0;0
201501;AGCE008;DB ent.;0;0
201501;AGCE008;Garagistes;2;1200
201501;AGCE008;AUTO;30;7000
201501;AGCE008;Habitation;5;2000
201501;AGCE008;sante;2;400
201501;AGCE008;Gav;1;200
201502;AGCE008;Flottes;0;0
201502;AGCE008;Collectives;1;500
201502;AGCE008;DB ent.;0;0
201502;AGCE008;Garagistes;1;800
201502;AGCE008;AUTO;12;2000
201502;AGCE008;Habitation;0;0
201502;AGCE008;sante;2;400
201502;AGCE008;Gav;1;200
201503;AGCE008;Flottes;0;0
201503;AGCE008;Collectives;1;500
201503;AGCE008;DB ent.;0;0
201503;AGCE008;Garagistes;1;800
201503;AGCE008;AUTO;12;2000
201503;AGCE008;Habitation;0;0
201503;AGCE008;sante;2;400
201503;AGCE008;Gav;1;200
