Periode;Agence;type contrat;nb;mt
201601;AGCE006;Flottes;1;1000
201601;AGCE006;Collectives;4;800
201601;AGCE006;DB ent.;1;500
201601;AGCE006;Garagistes;1;500
201601;AGCE006;AUTO;20;4000
201601;AGCE006;Habitation;0;0
201601;AGCE006;sante;0;0
201601;AGCE006;Gav;0;0
201602;AGCE006;Flottes;1;2000
201602;AGCE006;Collectives;4;800
201602;AGCE006;DB ent.;1;500
201602;AGCE006;Garagistes;1;500
201602;AGCE006;AUTO;10;3000
201602;AGCE006;Habitation;2;500
201602;AGCE006;sante;3;500
201602;AGCE006;Gav;0;0
201603;AGCE006;Flottes;1;2000
201603;AGCE006;Collectives;4;800
201603;AGCE006;DB ent.;1;500
201603;AGCE006;Garagistes;0;0
201603;AGCE006;AUTO;15;2500
201603;AGCE006;Habitation;2;500
201603;AGCE006;sante;3;500
201603;AGCE006;Gav;0;0
201501;AGCE006;Flottes;1;1000
201501;AGCE006;Collectives;4;800
201501;AGCE006;DB ent.;1;500
201501;AGCE006;Garagistes;1;500
201501;AGCE006;AUTO;20;4000
201501;AGCE006;Habitation;0;0
201501;AGCE006;sante;0;0
201501;AGCE006;Gav;0;0
201502;AGCE006;Flottes;1;2000
201502;AGCE006;Collectives;4;800
201502;AGCE006;DB ent.;1;500
201502;AGCE006;Garagistes;1;500
201502;AGCE006;AUTO;10;3000
201502;AGCE006;Habitation;2;500
201502;AGCE006;sante;3;500
201502;AGCE006;Gav;0;0
201503;AGCE006;Flottes;1;2000
201503;AGCE006;Collectives;4;800
201503;AGCE006;DB ent.;1;500
201503;AGCE006;Garagistes;0;0
201503;AGCE006;AUTO;15;2500
201503;AGCE006;Habitation;2;500
201503;AGCE006;sante;3;500
201503;AGCE006;Gav;0;0
