Periode;Agence;type contrat;nb;mt
201601;AGCE002;Flottes;1;800
201601;AGCE002;Collectives;1;500
201601;AGCE002;DB ent.;3;600
201601;AGCE002;Garagistes;0;0
201601;AGCE002;AUTO;6;800
201601;AGCE002;Habitation;2;500
201601;AGCE002;sante;1;300
201601;AGCE002;Gav;0;0
201602;AGCE002;Flottes;2;1500
201602;AGCE002;Collectives;3;1500
201602;AGCE002;DB ent.;0;0
201602;AGCE002;Garagistes;1;1000
201602;AGCE002;AUTO;2;400
201602;AGCE002;Habitation;1;400
201602;AGCE002;sante;0;0
201602;AGCE002;Gav;0;0
201603;AGCE002;Flottes;0;0
201603;AGCE002;Collectives;0;0
201603;AGCE002;DB ent.;1;500
201603;AGCE002;Garagistes;1;1000
201603;AGCE002;AUTO;5;1000
201603;AGCE002;Habitation;2;500
201603;AGCE002;sante;0;0
201603;AGCE002;Gav;1;200
201501;AGCE002;Flottes;0;0
201501;AGCE002;Collectives;1;500
201501;AGCE002;DB ent.;3;600
201501;AGCE002;Garagistes;0;0
201501;AGCE002;AUTO;6;1200
201501;AGCE002;Habitation;2;800
201501;AGCE002;sante;1;500
201501;AGCE002;Gav;0;0
201502;AGCE002;Flottes;0;0
201502;AGCE002;Collectives;3;1500
201502;AGCE002;DB ent.;0;0
201502;AGCE002;Garagistes;0;0
201502;AGCE002;AUTO;2;400
201502;AGCE002;Habitation;1;400
201502;AGCE002;sante;0;0
201502;AGCE002;Gav;0;0
201503;AGCE002;Flottes;0;1000
201503;AGCE002;Collectives;0;0
201503;AGCE002;DB ent.;1;500
201503;AGCE002;Garagistes;1;1500
201503;AGCE002;AUTO;5;1000
201503;AGCE002;Habitation;2;800
201503;AGCE002;sante;0;0
201503;AGCE002;Gav;1;400
