Periode;Agence;type contrat;nb;mt
201601;AGCE004;Flottes;2;8000
201601;AGCE004;Collectives;0;0
201601;AGCE004;DB ent.;0;0
201601;AGCE004;Garagistes;8;2100
201601;AGCE004;AUTO;14;2000
201601;AGCE004;Habitation;5;800
201601;AGCE004;sante;0;0
201601;AGCE004;Gav;0;0
201602;AGCE004;Flottes;3;4000
201602;AGCE004;Collectives;0;0
201602;AGCE004;DB ent.;1;1200
201602;AGCE004;Garagistes;4;900
201602;AGCE004;AUTO;10;1500
201602;AGCE004;Habitation;2;400
201602;AGCE004;sante;0;0
201602;AGCE004;Gav;0;0
201603;AGCE004;Flottes;0;0
201603;AGCE004;Collectives;0;0
201603;AGCE004;DB ent.;1;1200
201603;AGCE004;Garagistes;4;900
201603;AGCE004;AUTO;15;200
201603;AGCE004;Habitation;2;400
201603;AGCE004;sante;0;0
201603;AGCE004;Gav;0;0
201501;AGCE004;Flottes;2;9000
201501;AGCE004;Collectives;0;0
201501;AGCE004;DB ent.;0;0
201501;AGCE004;Garagistes;8;2100
201501;AGCE004;AUTO;14;3000
201501;AGCE004;Habitation;5;1800
201501;AGCE004;sante;0;0
201501;AGCE004;Gav;0;0
201502;AGCE004;Flottes;0;0
201502;AGCE004;Collectives;0;0
201502;AGCE004;DB ent.;1;1500
201502;AGCE004;Garagistes;4;900
201502;AGCE004;AUTO;10;1800
201502;AGCE004;Habitation;2;400
201502;AGCE004;sante;0;0
201502;AGCE004;Gav;0;0
201503;AGCE004;Flottes;0;0
201503;AGCE004;Collectives;0;0
201503;AGCE004;DB ent.;1;1200
201503;AGCE004;Garagistes;4;900
201503;AGCE004;AUTO;15;200
201503;AGCE004;Habitation;2;400
201503;AGCE004;sante;0;0
201503;AGCE004;Gav;0;0
