Periode;Agence;type contrat;nb;mt
201601;AGCE003;Flottes;0;0
201601;AGCE003;Collectives;2;2000
201601;AGCE003;DB ent.;1;1400
201601;AGCE003;Garagistes;0;0
201601;AGCE003;AUTO;15;3000
201601;AGCE003;Habitation;5;1400
201601;AGCE003;sante;0;0
201601;AGCE003;Gav;0;0
201602;AGCE003;Flottes;0;0
201602;AGCE003;Collectives;2;1600
201602;AGCE003;DB ent.;3;2000
201602;AGCE003;Garagistes;0;0
201602;AGCE003;AUTO;4;1200
201602;AGCE003;Habitation;2;700
201602;AGCE003;sante;3;500
201602;AGCE003;Gav;0;0
201603;AGCE003;Flottes;0;0
201603;AGCE003;Collectives;1;800
201603;AGCE003;DB ent.;5;2400
201603;AGCE003;Garagistes;0;0
201603;AGCE003;AUTO;2;800
201603;AGCE003;Habitation;3;1000
201603;AGCE003;sante;4;800
201603;AGCE003;Gav;0;0
201501;AGCE003;Flottes;1000;0
201501;AGCE003;Collectives;2;2000
201501;AGCE003;DB ent.;1;2400
201501;AGCE003;Garagistes;0;0
201501;AGCE003;AUTO;15;3000
201501;AGCE003;Habitation;5;2400
201501;AGCE003;sante;0;0
201501;AGCE003;Gav;0;0
201502;AGCE003;Flottes;0;0
201502;AGCE003;Collectives;0;0
201502;AGCE003;DB ent.;0;0
201502;AGCE003;Garagistes;0;0
201502;AGCE003;AUTO;4;1200
201502;AGCE003;Habitation;2;700
201502;AGCE003;sante;3;500
201502;AGCE003;Gav;0;0
201503;AGCE003;Flottes;0;0
201503;AGCE003;Collectives;1;800
201503;AGCE003;DB ent.;5;2400
201503;AGCE003;Garagistes;0;0
201503;AGCE003;AUTO;2;800
201503;AGCE003;Habitation;3;1000
201503;AGCE003;sante;4;800
201503;AGCE003;Gav;0;0
