Periode;Agence;type contrat;nb;mt
201601;AGCE005;Flottes;1;2500
201601;AGCE005;Collectives;2;600
201601;AGCE005;DB ent.;0;0
201601;AGCE005;Garagistes;0;0
201601;AGCE005;AUTO;12;2500
201601;AGCE005;Habitation;8;1800
201601;AGCE005;sante;0;0
201601;AGCE005;Gav;0;0
201602;AGCE005;Flottes;0;0
201602;AGCE005;Collectives;2;650
201602;AGCE005;DB ent.;0;0
201602;AGCE005;Garagistes;0;0
201602;AGCE005;AUTO;8;3000
201602;AGCE005;Habitation;2;400
201602;AGCE005;sante;0;0
201602;AGCE005;Gav;0;0
201603;AGCE005;Flottes;0;0
201603;AGCE005;Collectives;2;650
201603;AGCE005;DB ent.;0;0
201603;AGCE005;Garagistes;0;0
201603;AGCE005;AUTO;8;3000
201603;AGCE005;Habitation;2;400
201603;AGCE005;sante;0;0
201603;AGCE005;Gav;0;0
201501;AGCE005;Flottes;1;2500
201501;AGCE005;Collectives;2;600
201501;AGCE005;DB ent.;0;0
201501;AGCE005;Garagistes;0;0
201501;AGCE005;AUTO;12;2500
201501;AGCE005;Habitation;8;1800
201501;AGCE005;sante;0;0
201501;AGCE005;Gav;0;0
201502;AGCE005;Flottes;0;0
201502;AGCE005;Collectives;2;650
201502;AGCE005;DB ent.;0;0
201502;AGCE005;Garagistes;0;0
201502;AGCE005;AUTO;8;3000
201502;AGCE005;Habitation;2;400
201502;AGCE005;sante;0;0
201502;AGCE005;Gav;0;0
201503;AGCE005;Flottes;0;0
201503;AGCE005;Collectives;2;650
201503;AGCE005;DB ent.;0;0
201503;AGCE005;Garagistes;0;0
201503;AGCE005;AUTO;8;3000
201503;AGCE005;Habitation;2;400
201503;AGCE005;sante;0;0
201503;AGCE005;Gav;0;0
