Periode;Agence;type contrat;nb;mt
201601;AGCE009;Flottes;2;1200
201601;AGCE009;Collectives;0;0
201601;AGCE009;DB ent.;0;0
201601;AGCE009;Garagistes;2;1200
201601;AGCE009;AUTO;30;7000
201601;AGCE009;Habitation;5;2000
201601;AGCE009;sante;2;400
201601;AGCE009;Gav;1;200
201602;AGCE009;Flottes;0;0
201602;AGCE009;Collectives;0;0
201602;AGCE009;DB ent.;0;0
201602;AGCE009;Garagistes;5;3000
201602;AGCE009;AUTO;30;7000
201602;AGCE009;Habitation;5;2000
201602;AGCE009;sante;2;400
201602;AGCE009;Gav;1;200
201603;AGCE009;Flottes;0;0
201603;AGCE009;Collectives;0;0
201603;AGCE009;DB ent.;0;0
201603;AGCE009;Garagistes;5;3000
201603;AGCE009;AUTO;30;7000
201603;AGCE009;Habitation;5;2000
201603;AGCE009;sante;2;400
201603;AGCE009;Gav;1;200
201501;AGCE009;Flottes;2;1700
201501;AGCE009;Collectives;0;0
201501;AGCE009;DB ent.;0;0
201501;AGCE009;Garagistes;2;1500
201501;AGCE009;AUTO;30;7000
201501;AGCE009;Habitation;5;3000
201501;AGCE009;sante;2;400
201501;AGCE009;Gav;1;200
201502;AGCE009;Flottes;0;0
201502;AGCE009;Collectives;0;0
201502;AGCE009;DB ent.;0;0
201502;AGCE009;Garagistes;5;4000
201502;AGCE009;AUTO;30;7000
201502;AGCE009;Habitation;5;2000
201502;AGCE009;sante;2;400
201502;AGCE009;Gav;1;200
201503;AGCE009;Flottes;0;0
201503;AGCE009;Collectives;0;0
201503;AGCE009;DB ent.;0;0
201503;AGCE009;Garagistes;5;3000
201503;AGCE009;AUTO;20;4000
201503;AGCE009;Habitation;5;2000
201503;AGCE009;sante;2;400
201503;AGCE009;Gav;1;200
